cliente,recencia,frequencia,monetario,total_produtos_comprados,R,F,M,RFM_Score,RFM_Segment,Classe_Score,Classe_Segmento,Acao
André Alves,38,63,86717.0,168,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
André Martins,52,69,67742.0,168,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
André Rocha,84,43,47400.0,109,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
André Silva,62,39,38099.0,100,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
André Sousa,5,77,69741.0,198,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Anna Castro,97,36,33538.0,74,4,3,2,9,432,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Anna Lima,31,34,38075.0,87,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Anna Oliveira,20,53,58929.0,139,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Antônio Cardoso,95,32,23929.0,52,4,2,1,7,421,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Antônio Correia,44,56,46711.0,135,3,5,4,12,354,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Antônio Fernandes,62,43,47141.0,103,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Antônio Goncalves,7,31,26879.0,72,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Antônio Melo,56,75,62924.0,196,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Antônio Oliveira,2,34,28923.0,82,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Araujo,78,43,40205.0,108,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Arthur Castro,105,37,38308.0,94,5,3,3,11,533,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Arthur Cavalcanti,71,42,37706.0,95,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Arthur Costa,80,32,33973.0,83,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Arthur Cunha,5,37,31294.0,94,1,3,2,6,132,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Dias,15,38,51620.0,108,2,3,4,9,234,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Fernandes,9,42,40557.0,110,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Goncalves,25,33,23913.0,83,2,2,1,5,221,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Lima,1,58,66991.0,149,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Martins,46,47,53590.0,127,3,5,4,12,354,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Arthur Pinto,13,36,28327.0,82,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Arthur Rodrigues,112,35,30005.0,73,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Arthur Santos,51,34,33248.0,85,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatrice Almeida,54,44,26794.0,97,4,4,2,10,442,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatrice Alves,39,41,35171.0,105,3,4,3,10,343,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Beatrice Araujo,6,38,31013.0,110,1,3,2,6,132,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatrice Barbosa,80,37,38064.0,104,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Beatrice Cavalcanti,103,22,24402.0,50,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatrice Costa,20,35,37380.0,83,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatrice Dias,5,48,38176.0,117,1,5,3,9,153,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatrice Martins,19,41,57067.0,109,2,4,5,11,245,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatrice Pereira,35,34,29779.0,99,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatrice Sousa,340,24,21242.0,49,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatriz Carvalho,203,29,30383.0,63,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatriz Castro,142,39,54484.0,106,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Beatriz Cavalcanti,68,24,22284.0,50,4,1,1,6,411,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatriz Correia,4,55,41860.0,143,1,5,3,9,153,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatriz Fernandes,132,21,23276.0,58,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Beatriz Lima,46,99,93310.0,271,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Beatriz Rocha,24,47,47031.0,112,2,5,4,11,254,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatriz Sousa,14,44,46266.0,120,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Beatriz Souza,41,70,78105.0,182,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bianca Almeida,93,54,51724.0,134,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Bianca Araujo,36,42,42210.0,119,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bianca Azevedo,73,37,42473.0,104,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bianca Correia,31,39,35907.0,96,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bianca Cunha,85,32,42733.0,73,4,2,4,10,424,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Bianca Ribeiro,45,40,38179.0,99,3,4,3,10,343,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bianca Rocha,8,66,59281.0,164,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Brenda Alves,6,18,25073.0,37,1,1,2,4,112,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Brenda Castro,164,20,26387.0,45,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Brenda Dias,4,35,22901.0,72,1,2,1,4,121,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Brenda Oliveira,133,33,34628.0,93,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Breno Correia,5,35,43637.0,99,1,2,4,7,124,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Breno Gomes,36,35,38074.0,68,3,2,3,8,323,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Breno Goncalves,107,26,24747.0,57,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Breno Oliveira,104,25,23259.0,61,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Breno Ribeiro,13,41,45152.0,98,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruna Barbosa,260,37,38280.0,108,5,3,3,11,533,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bruna Barros,15,38,41227.0,86,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruna Castro,47,36,31027.0,112,3,3,2,8,332,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Bruna Cavalcanti,194,43,60171.0,92,5,4,5,14,545,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Bruna Goncalves,105,26,37479.0,74,5,1,3,9,513,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Bruna Melo,19,48,36858.0,120,2,5,3,10,253,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruna Ribeiro,117,46,34863.0,126,5,4,2,11,542,Alto Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Bruna Rocha,12,34,39664.0,92,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruna Santos,67,45,29156.0,116,4,4,2,10,442,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Bruno Almeida,42,49,37775.0,120,3,5,3,11,353,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bruno Barros,2,49,28541.0,134,1,5,2,8,152,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruno Correia,102,42,33612.0,114,5,4,2,11,542,Alto Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Bruno Costa,4,35,38600.0,89,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruno Dias,23,38,39978.0,84,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruno Melo,234,37,43407.0,89,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Bruno Rodrigues,13,42,37102.0,111,2,4,3,9,243,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Bruno Silva,41,32,38694.0,84,3,2,3,8,323,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Bruno Sousa,11,23,28532.0,46,1,1,2,4,112,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Caio Almeida,82,48,41079.0,122,4,5,3,12,453,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Caio Barbosa,86,43,43503.0,103,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Caio Correia,4,57,50538.0,145,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Caio Dias,160,44,44581.0,106,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Caio Ferreira,14,29,31824.0,64,2,1,2,5,212,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Caio Gomes,51,34,26977.0,84,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Caio Lima,14,36,35280.0,83,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Caio Pereira,65,37,37845.0,79,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Caio Rocha,3,30,34476.0,84,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Caio Sousa,7,32,42636.0,71,1,2,4,7,124,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Camila Carvalho,5,64,57929.0,156,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Camila Cunha,26,41,39149.0,91,2,4,3,9,243,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Camila Martins,135,32,40298.0,87,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Camila Ribeiro,101,29,29984.0,65,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Camila Rodrigues,27,52,56461.0,127,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Camila Santos,20,56,61463.0,142,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carla Dias,21,41,49621.0,107,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carla Pereira,107,26,27001.0,71,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Carla Silva,48,41,37400.0,106,3,4,3,10,343,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Carlos Azevedo,63,47,50634.0,117,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Carlos Barros,117,36,29731.0,96,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Carlos Cunha,2,63,75937.0,160,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carlos Ferreira,112,35,43956.0,82,5,2,4,11,524,Alto Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Carlos Gomes,86,38,46011.0,110,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Carlos Martins,24,37,30042.0,83,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carlos Pereira,233,35,31301.0,83,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Carlos Pinto,10,33,21239.0,73,1,2,1,4,121,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carlos Rocha,7,57,67148.0,152,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carlos Rodrigues,35,44,37703.0,104,3,4,3,10,343,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Carolina Cardoso,14,73,77912.0,196,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carolina Goncalves,21,42,40059.0,112,2,4,3,9,243,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carolina Ribeiro,31,49,50210.0,125,2,5,4,11,254,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Carolina Rodrigues,188,47,42404.0,115,5,5,4,14,554,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Cauã Araujo,179,41,41507.0,106,5,4,3,12,543,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Cauã Azevedo,115,23,28654.0,61,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Cauã Carvalho,12,67,69211.0,165,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Cauã Fernandes,16,104,99666.0,268,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Cauã Melo,53,48,44634.0,128,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Cauã Pereira,7,71,85439.0,178,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Cauã Ribeiro,11,31,30656.0,82,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Cauã Sousa,63,30,32993.0,72,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Clara Almeida,168,36,24245.0,98,5,3,1,9,531,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Clara Cardoso,241,27,28097.0,63,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Clara Carvalho,173,21,16927.0,60,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Clara Cavalcanti,10,39,48758.0,84,1,3,4,8,134,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Clara Correia,22,30,26851.0,75,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Clara Cunha,33,50,59327.0,136,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Clara Ferreira,50,47,38745.0,116,3,5,3,11,353,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Clara Pereira,74,51,60680.0,126,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Clara Souza,9,32,40542.0,80,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Barros,17,25,26019.0,57,2,1,2,5,212,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Cardoso,22,61,55281.0,166,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Carvalho,12,32,31951.0,76,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Cavalcanti,5,35,26836.0,87,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Correia,16,43,43015.0,112,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Fernandes,133,26,27964.0,60,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Daniel Lima,1,34,34946.0,92,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Daniel Santos,116,39,44764.0,101,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Danilo Alves,218,40,51863.0,97,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Danilo Araujo,8,23,11516.0,55,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Danilo Castro,101,39,45273.0,93,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Danilo Ferreira,50,35,26121.0,85,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
